Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Bangalore,,,,,,,6103.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Bangalore,,,,,,,11471.0,107.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Chennai,,,,,,,13519.0,140.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Chennai,,,,,,,10147.0,68.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Chennai,,,,,,,10832.0,68.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Coimbatore,,,,,,,2089.0,39.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Coimbatore,,,,,,,10093.0,148.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Coimbatore,,,,,,,5842.0,30.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,"Delhi,Delhi,India",,,,,,,8001.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,"Delhi,Delhi,India",,,,,,,13518.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,"Delhi,Delhi,India",,,,,,,12297.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Ernamkulam,,,,,,,1801.0,24.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Ernamkulam,,,,,,,12114.0,142.0,nan,nan,nan,nan,nan,nan,nan,nan
